,CPI_Restaurants,LS,SS
1996(1),101.5,0,0
1996(2),102.1,0,0
1996(3),102.3,0,0
1996(4),102.6,0,0
1996(5),103.1,0,0
1996(6),103.2,0,0
1996(7),103.5,0,0
1996(8),103.6,0,0
1996(9),103.8,0,0
1996(10),103.9,0,0
1996(11),104,0,0
1996(12),104.1,0,0
1997(1),104.4,0,0
1997(2),104.6,0,0
1997(3),104.8,0,0
1997(4),105,0,0
1997(5),105.1,0,0
1997(6),105.3,0,0
1997(7),105.4,0,0
1997(8),105.4,0,0
1997(9),105.4,0,0
1997(10),105.6,0,0
1997(11),105.8,0,0
1997(12),105.9,0,0
1998(1),106.4,0,0
1998(2),106.5,0,0
1998(3),106.9,0,0
1998(4),107.1,0,0
1998(5),107.2,0,0
1998(6),107.4,0,0
1998(7),107.4,0,0
1998(8),107.7,0,0
1998(9),107.8,0,0
1998(10),107.8,0,0
1998(11),108,0,0
1998(12),108.4,0,0
1999(1),108.4,0,0
1999(2),108.8,0,0
1999(3),108.9,0,0
1999(4),108.9,0,0
1999(5),108.9,0,0
1999(6),109.2,0,0
1999(7),109.3,0,0
1999(8),109.4,0,0
1999(9),109.8,0,0
1999(10),110.1,0,0
1999(11),110.2,0,0
1999(12),110.2,0,0
2000(1),110.6,0,0
2000(2),111.2,0,0
2000(3),111.5,0,0
2000(4),111.6,0,0
2000(5),112,0,0
2000(6),112.3,0,0
2000(7),112.4,0,0
2000(8),112.7,0,0
2000(9),113,0,0
2000(10),113.2,0,0
2000(11),113.4,0,0
2000(12),113.7,0,0
2001(1),114.2,0,0
2001(2),114.8,0,0
2001(3),115.4,0,0
2001(4),116,0,0
2001(5),116.4,0,0
2001(6),116.8,0,0
2001(7),116.9,0,0
2001(8),116.9,0,0
2001(9),117.1,0,0
2001(10),117.3,0,0
2001(11),117.8,0,0
2001(12),118,0,0
2002(1),118.7,1,0
2002(2),119.3,1,1
2002(3),119.7,1,2
2002(4),120.2,1,3
2002(5),120.7,1,4
2002(6),121,1,5
2002(7),121.2,1,6
2002(8),121.4,1,7
2002(9),122.5,1,8
2002(10),123.2,1,9
2002(11),123.4,1,10
2002(12),123.7,1,11
2003(1),124.4,1,12
2003(2),124.7,1,13
2003(3),125.3,1,14
2003(4),125.7,1,15
2003(5),126.2,1,16
2003(6),126.4,1,17
2003(7),126.8,1,18
2003(8),127.2,1,19
2003(9),127.9,1,20
2003(10),128.8,1,21
2003(11),129.3,1,22
2003(12),129.4,1,23
2004(1),129.5,1,24
2004(2),130,1,25
2004(3),130.3,1,26
2004(4),130.8,1,27
2004(5),131.3,1,28
2004(6),131.9,1,29
2004(7),132.4,1,30
2004(8),132.6,1,31
2004(9),133.3,1,32
2004(10),133.4,1,33
2004(11),133.7,1,34
2004(12),133.8,1,35
2005(1),134.1,1,36
2005(2),134.6,1,37
2005(3),134.9,1,38
2005(4),135.3,1,39
2005(5),135.4,1,40
2005(6),135.7,1,41
2005(7),135.8,1,42
2005(8),135.9,1,43
2005(9),136.3,1,44
2005(10),136.6,1,45
2005(11),136.9,1,46
2005(12),136.9,1,47
2006(1),137.2,1,48
2006(2),137.4,1,49
2006(3),138,1,50
2006(4),138.3,1,51
2006(5),138.8,1,52
2006(6),139,1,53
2006(7),139.2,1,54
2006(8),139.5,1,55
2006(9),139.9,1,56
2006(10),140.6,1,57
2006(11),140.9,1,58
2006(12),141.3,1,59
2007(1),141.7,1,60
2007(2),142.2,1,61
2007(3),142.5,1,62
2007(4),142.8,1,63
2007(5),143.3,1,64
2007(6),143.7,1,65
2007(7),143.9,1,66
2007(8),144.2,1,67
2007(9),144.9,1,68
2007(10),145.4,1,69
2007(11),146.1,1,70
2007(12),146.4,1,71
2008(1),146.7,1,72
2008(2),147,1,73
2008(3),147.5,1,74
2008(4),147.7,1,75
2008(5),148.2,1,76
2008(6),148.6,1,77
2008(7),148.9,1,78
2008(8),149.3,1,79
2008(9),149.8,1,80
2008(10),150.1,1,81
2008(11),150.5,1,82
2008(12),150.6,1,83
2009(1),150.9,1,84
2009(2),151.2,1,85
2009(3),151.5,1,86
2009(4),151.7,1,87
2009(5),151.9,1,88
2009(6),152.1,1,89
2009(7),152.4,1,90
2009(8),152.6,1,91
2009(9),153,1,92
2009(10),153.2,1,93
2009(11),153.4,1,94
2009(12),153.8,1,95
2010(1),154.3,1,96
2010(2),154.5,1,97
2010(3),154.8,1,98
2010(4),154.9,1,99
2010(5),155.1,1,100
2010(6),155.3,1,101
2010(7),155.5,1,102
2010(8),155.7,1,103
2010(9),156,1,104
2010(10),156.5,1,105
2010(11),156.7,1,106
2010(12),156.9,1,107
