,Injured
2001-1,27874
2001-2,25240
2001-3,29910
2001-4,30674
2001-5,33630
2001-6,35483
2001-7,36136
2001-8,30027
2001-9,31355
2001-10,31925
2001-11,31704
2001-12,29328
2002-1,28181
2002-2,24904
2002-3,30527
2002-4,30709
2002-5,34085
2002-6,34263
2002-7,36267
2002-8,30741
2002-9,31635
2002-10,32537
2002-11,32464
2002-12,32178
2003-1,28305
2003-2,24847
2003-3,30607
2003-4,30576
2003-5,34753
2003-6,35608
2003-7,31378
2003-8,25884
2003-9,28440
2003-10,30139
2003-11,27747
2003-12,28191
2004-1,25653
2004-2,24406
2004-3,26801
2004-4,28744
2004-5,32054
2004-6,32502
2004-7,33291
2004-8,26718
2004-9,28511
2004-10,28936
2004-11,27743
2004-12,27820
2005-1,23483
2005-2,22314
2005-3,25373
2005-4,27027
2005-5,32561
2005-6,32194
2005-7,32883
2005-8,26951
2005-9,27588
2005-10,28614
2005-11,28192
2005-12,27678
2006-1,24236
2006-2,22338
2006-3,25388
2006-4,27578
2006-5,30553
2006-6,31443
2006-7,32427
2006-8,26475
2006-9,28323
2006-10,29215
2006-11,27749
2006-12,27230
2007-1,24866
2007-2,23168
2007-3,26995
2007-4,28178
2007-5,30057
2007-6,30508
2007-7,32751
2007-8,24523
2007-9,27161
2007-10,27599
2007-11,25227
2007-12,24817
2008-1,23740
2008-2,23549
2008-3,25912
2008-4,25609
2008-5,28132
2008-6,27929
2008-7,29924
2008-8,24889
2008-9,25568
2008-10,27149
2008-11,25045
2008-12,23299
2009-1,21442
2009-2,19945
2009-3,25122
2009-4,25245
2009-5,29409
2009-6,28319
2009-7,30741
2009-8,25159
2009-9,26072
2009-10,26885
2009-11,24867
2009-12,24052
2010-1,22655
2010-2,20954
2010-3,24100
2010-4,26740
2010-5,27733
2010-6,28168
2010-7,30328
2010-8,24167
2010-9,25551
2010-10,26827
2010-11,24974
2010-12,22523
2011-1,20306
2011-2,20163
2011-3,22323
2011-4,25842
2011-5,28212
2011-6,26793
2011-7,28064
2011-8,24599
2011-9,25757
2011-10,25508
2011-11,22280
2011-12,22172
2012-1,20109
2012-2,16596
2012-3,21533
2012-4,20680
2012-5,24582
2012-6,26223
2012-7,26710
2012-8,22980
2012-9,21909
2012-10,23352
2012-11,21532
2012-12,20658
2013-1,19363
2013-2,17208
2013-3,19908
2013-4,20494
2013-5,23009
2013-6,24693
2013-7,25029
2013-8,21339
2013-9,22597
2013-10,22000
2013-11,21152
2013-12,20629
